Clave, Descripción,EXISTENCIAS GENERALES
RES061,CUBETA RESINA,769
CUBV518,CUBETA VACIA,119
DLA789,DUELA (MAS IVA),103
SERV810,ENVIO,0
ESCAL,ESCALERA,0
ESC10,ESCALERILLA 10 CM,15
ESC12,ESCALERILLA 12 CM,360
ESC15,ESCALERILLA 15 CM,673
GALFEM,GALON DE FESTER MIX,328
RES060,GALON RESINA,40
GCAR,GUANTE DE CARNAZA,40
CLTX,HOJA DE CELOTEX 1.22 X 2.44,0
INTERM1,INTERRUPTOR TERMOMAGNETICO 1X50,0
INTERM,INTERRUPTOR TERMOMAGNETICO 2X30,0
ALAM032,KG ALAMBRE RECOCIDO,4877.06
ALAMB033,KG ALAMBRON 1/4,10483.78
AN1010,KG ANILLO 10X10,6667.92
AN1015,KG ANILLO 10X15,2579.14
AN1020,KG ANILLO 10X20,3370.01
AN1025,KG ANILLO 10X25,3297.15
AN1030,KG ANILLO 10X30,2084.63
AN1035,KG ANILLO 10X35,747.05
AN1040,KG ANILLO 10X40,107.5
AN1515,KG ANILLO 15X15,156.52
AN1520,KG ANILLO 15X20,1015.12
AN1525,KG ANILLO 15X25,1315.35
AN1530,KG ANILLO 15X30,488.95
AN1535,KG ANILLO 15X35,32.2
AN2020,KG ANILLO 20X20,426.87
AN2025,KG ANILLO 20X25,875.87
AN2030,KG ANILLO 20X30,449
AN2035,KG ANILLO 20X35,11
AN2525,KG ANILLO 25X25,377.65
AN3030,KG ANILLO 30X30,572.65
AN4040,KG ANILLO 40X40,206
AN820,KG ANILLO 8X20,0
AN830,KG ANILLO 8X30,0
CLAC112,"KG CLAVO CONCRETO 1 1/2""",76.65
CLAC418,"KG CLAVO DE CONCRETO 2 1/2""",912.62
CLAC419,"KG CLAVO DE CONCRETO 3""",885.97
CLAC421,"KG CLAVO DE CONCRETO 4""",1159.08
CLAM417,"KG CLAVO DE MADERA 2 1/2""",3590.53
CLAM2,"KG CLAVO DE MADERA 2""",2481.45
CLAM418,"KG CLAVO DE MADERA 3""",2163
CLAM420,"KG CLAVO DE MADERA 4""",2981.98
PLAS257,KG PLASTICO NEGRO (6MT),1939.38
ANIK428,KILO DE ANILLO ESTÁNDAR,1120.4
LENG,LENTE DE SEGURIDAD GRIS TRUPER,0
LIJ123,LIJA,25
RESL412,LITRO RESINA,134
LLANCARR,LLANTA PARA CARRETILLA,112
LLAP1,"LLAVE DE PASO CPVC 1""",4
LLAP2,"LLAVE DE PASO CPVC 1/2""",2
LLAP3,"LLAVE DE PASO CPVC 3/4""",4
AREN292,M3 ARENA (MAS IVA),33
GRAV304,M3 GRAVA (MAS IVA),60
GRAV801,M3 GRAVILLA (MAS IVA),38
TEPEE316,M3 TEPETATE (MAS IVA),14
TEZT330,M3 TEZONTLE (MAS IVA),17
TPOM340,M3 TIERRA POMA (MAS IVA),15
TPLUS001,"METRO TUBO CLASE -16 20MM 1/2"" TUBOPLUS",4
TPLUS002,"METRO TUBO CLASE -16 25MM 3/4"" TUBOPLUS",0
TPLUS003,"METRO TUBO CLASE -16 32MM 1"" TUBOPLUS",0
MAEL10050,ML MALLA ELECTROSOLDADA 6*6/10/10,1751
MAEL4045,ML MALLA ELECTROSOLDADA 6*6/4/4,2071
MAEL6046,ML MALLA ELECTROSOLDADA 6*6/6/6,1720
M8/8,ML MALLA ELECTROSOLDADA 6*6/8/8,1730
MAG053,ML MALLA GALLINERA 1.20 MT ALTURA,715
MAMS052,ML MALLA MOSQUITERA,447
ARNFI,ML MALLA PARA ARNERO FINO,112.5
ARN822,ML MALLA PARA ARNERO GRUESO,256
METD058,ML MALLA PARA PLAFON 91 MT ALTURA,1769.5
SEMV386,ML SEMIVIGUETA,1564
VIGUML,ML VIGUETA PRETENSADA,0
POLD1P,"MT POLIDUCTO NARANJA 1"" LISO",0
POLD263,"MT POLIDUCTO NARANJA 1/2"" CORRUGADO",2638
POLD259,"MT POLIDUCTO NARANJA 1/2"" LISO",4088
POLD265,"MT POLIDUCTO NARANJA 3/4"" CORRUGADO",2140
POLD261,"MT POLIDUCTO NARANJA 3/4"" LISO",1620
PALN251,PALA PRETUL,937
PALC253,PALA TRUPER,15
LAMCN,PAQUETE LAMINA CARTON NEGRA (20 PZ),26
LAMC224,PAQUETE LAMINA CARTON ROJA (20PZ),18
PINAER,PINTURA EN AEROSOL,0
POLN357,POLIN (MAS IVA),120
VARIL14,"PZ VARILLIN 1/4""",386
ARM10028,PZA ARMEX 10x10,587
ARM15029,PZA ARMEX 10X15,700
AR10*20,PZA ARMEX 10X20,889
ARM25031,PZA ARMEX 10X25,735
BLOCCP,PZA BLOCK CARA DE PIEDRA,225
BLOC575,PZA BLOCK HUECO 10x20x40,1959
BLOC374,PZA BLOCK HUECO 12x20x40,9343
BLOC830,PZA BLOCK HUECO 15x20x40,10544
BLOC376,PZA BLOCK HUECO 20*20*40,4204
BLOC563,PZA BLOCK HUECO 20*20*40 P/LOSA,1044
BLOS389,PZA BLOCK SOLIDO 12x20x40,3319
BLOS140,PZA BLOCK SOLIDO 14X20X40,4823
BLOS816,PZA BLOCK SOLIDO 15x20x40,4445
BLOS400,PZA BLOCK SOLIDO 20x20x40,2941
BOTI163,"PZA BOTE INTEGRAL 8CM,10CM,12CM",555
BOVC384,PZA BOVEDILLA DE CONCRETO 15x25x68,1169
BOVD772,PZA BOVEDILLA DE UNICEL 1.22x63x15,614
BOVD382,PZA BOVEDILLA DE UNICEL 2.50x63x15,53
CAJ173,PZA CAJA 3*3 (1/2),589
CAJ174,PZA CAJA 4*4 (3/4),810
CART176,PZA CARRETILLA PRETUL,296
CARTP17,PZA CARRETILLA TRUPER,22
CAST379,PZA CASETON 40x40x15,741
CAST378,PZA CASETON 40x40x20,1393
CASMES,PZA CASETON MEDIDA ESPECIAL,688
CHAL179,PZA CHALECO DE SEGURIDAD PRETUL,73
CHA604,PZA CHALECO DE SEGURIDAD TRUPER,37
CHAP180,PZA CHALUPA,718
DISC204,"PZA DISCO P/CORTE METAL 4 1/2""",859
DISC203,"PZA DISCO P/CORTE METAL 7""",143
DISCO14,"PZA DISCO P/METAL 14""",7
DISS412,"PZA DISCO SEGMANETADO DIAMANTE 4 1/2""",5
DISC200,"PZA DISCO SEGMENTADO DIAMANTE 7""",13
ESPJ211,PZA ESPONJA,123
PANL573,"PZA PANEL  ESTRUCTURAL 2""",110
PANL574,"PZA PANEL  ESTRUCTURAL 3""",0
PANWE2,"PZA PANEL SEMIESTRUCTURAL 2""",53
PANWS3,"PZA PANEL SEMIESTRUCTURAL 3""",125
PEGC500,PZA PEGAMENTO CPVC 1/2 LT,72
PEGC151,PZA PEGAMENTO CPVC 1/4 LT,2
PEGC150,PZA PEGAMENTO CPVC 1/8 LT,2
PEGC200,PZA PEGAMENTO CPVC 60 ml,2
PEGP127,PZA PEGAMENTO PVC 1 LT,22
PEGP126,PZA PEGAMENTO PVC 1/2 LT,45
PEGP125,PZA PEGAMENTO PVC 1/4 LT,62
PEGP124,PZA PEGAMENTO PVC 1/8 LT,66
TABA819,PZA TABICON BLANCO 10*14*28,4515
TABQ370,PZA TABIQUE ROJO (MAS IVA),11928
KVAR799,"PZA VARILLA 1""",7528
KVAR798,"PZA VARILLA 1/2""",927
V1/2,"PZA VARILLA 3/4""",895
VAR3/4025,"PZA VARILLA 3/8""",2114
KVAR686,"PZA VARILLA 5/8""",2398
TPLUS102,REDUCCION 25X20 19-13 TUBOPLUS,338
TPLUS104,REDUCCION 32X25 25-19 TUBOPLUS,0
REDC430,"REDUCCION CPVC 1""-1/2""",0
REDC429,"REDUCCION CPVC 1""-3/4""",0
